,Unnamed: 0,Area,Perimeter,MajorAxisLength,MinorAxisLength,roundnes,Class
0,0,0.732809168,0.768720949,0.708946016,0.758615551,0.875280258,0
1,1,0.759728145,0.751831096,0.626053483,0.88418093,0.917709597,0
2,2,0.843852168,0.82858749,0.78849428,0.830085582,0.902808585,0
3,3,0.858200071,0.870310331,0.880560115,0.855472702,0.870273946,0
4,4,0.86966951,0.856165865,0.816492734,0.838272064,0.893763394,0
5,5,0.873205402,0.86550496,0.845421458,0.816750345,0.886722008,0
6,6,0.875541933,0.872942532,0.824123928,0.847150446,0.88082047,0
7,7,0.886016347,0.888876592,0.936362647,0.758808743,0.872498937,0
8,8,0.888139659,0.880494547,0.821472245,0.858608773,0.882624263,0
9,9,0.894944918,0.867863,0.860169599,0.831248818,0.900944965,0
10,10,0.89623312,0.839811759,0.824623604,0.862994873,0.93230298,0
11,11,0.900248756,0.882037648,0.906469172,0.802762236,0.89017622,0
12,12,0.900586354,0.887131014,0.866292085,0.832485394,0.885187446,0
13,13,0.908324449,0.882387267,0.806378963,0.899772214,0.895903257,0
14,14,0.910563255,0.902595982,0.92533419,0.795955532,0.876895924,0
15,15,0.912686567,0.909795863,0.944443435,0.776570153,0.871246402,0
16,16,0.921313077,0.884813218,0.851484378,0.873070219,0.9031499,0
17,17,0.922921109,0.897730245,0.943226012,0.797234416,0.890965798,0
18,18,0.927318763,0.902390989,0.898216787,0.839723072,0.889446024,0
19,19,0.937775409,0.961585961,0.955096187,0.806019594,0.839169548,0
20,20,0.938130775,0.954471598,0.930009847,0.821366669,0.846082671,0
21,21,0.940289623,0.875982202,0.893467501,0.856787441,0.926881995,0
22,22,0.941711087,0.943012154,0.931900713,0.832592517,0.859510632,0
23,23,0.943754442,0.907408898,0.865392856,0.893717977,0.896384428,0
24,24,0.945015991,0.933401413,0.939746222,0.825434488,0.871201054,0
25,25,0.946517413,0.995507777,1,0.806243431,0.814246128,0
26,26,0.947006041,0.881120842,0.814384176,0.944999515,0.926427334,0
27,27,0.948160981,0.91503637,0.902250816,0.863290556,0.891810581,0
28,28,0.948347548,0.915589724,0.909175831,0.856597483,0.891383938,0
29,29,0.951847903,0.939861813,0.899468782,0.867587869,0.869712301,0
30,30,0.952896233,0.924225808,0.87596049,0.896049878,0.885948143,0
31,31,0.954664179,0.925950007,0.898108466,0.886161192,0.885487134,0
32,32,0.95952381,0.934154728,0.87305396,0.901339808,0.880770149,0
33,33,0.960554371,0.894265499,0.782003447,1,0.922513655,0
34,34,0.960971926,0.923329124,0.89573573,0.882954964,0.892658229,0
35,35,0.962348969,0.958477121,0.948267284,0.839037447,0.859064827,0
36,36,0.966542289,0.960725748,0.924229465,0.866074188,0.85981328,0
37,37,0.971464108,0.938474656,0.868446992,0.92515273,0.884940228,0
38,38,0.972325871,0.952640501,0.992052528,0.809645084,0.871611006,0
39,39,0.976066098,0.957453418,0.951846837,0.852820615,0.869539345,0
40,40,0.977256574,0.974402378,0.942721703,0.865349554,0.854180672,0
41,41,0.980197228,0.961754482,0.948661631,0.864504413,0.868239554,0
42,42,0.981112296,0.923023523,0.946405624,0.862157322,0.907459885,0
43,43,0.98289801,0.892919844,0.873079526,0.931974133,0.940587688,0
44,44,0.983644279,0.952341188,0.921025286,0.885094109,0.879782154,0
45,45,0.985074627,0.95851988,0.947569783,0.866108328,0.874737426,0
46,46,0.986789268,0.931443296,0.931886491,0.884534196,0.90290124,0
47,47,0.995771144,0.926993833,0.919647802,0.907398083,0.913887564,0
48,48,0.999813433,1,0.987648621,0.851027318,0.845484073,0
49,49,1,0.998433004,0.980192579,0.861852112,0.847049275,0
50,50,0.124244847,0.157593768,0.200945968,0.176043531,0.908356725,1
51,51,0.12568408,0.153007224,0.133796095,0.247236649,0.920029115,1
52,52,0.149733475,0.197499346,0.259929961,0.183297912,0.892789726,1
53,53,0.157480455,0.194347747,0.220246992,0.231059571,0.914429543,1
54,54,0.163139659,0.280951315,0.402068915,0.100718643,0.788689675,1
55,55,0.172663468,0.24857763,0.313975331,0.185870856,0.854260064,1
56,56,0.178784648,0.23569959,0.241763461,0.255189138,0.886661697,1
57,57,0.185936389,0.269593738,0.336147208,0.188355856,0.84632069,1
58,58,0.196250888,0.283404934,0.394040933,0.162523388,0.843919906,1
59,59,0.200399787,0.284075246,0.354992158,0.207804765,0.85025672,1
60,60,0.20094172,0.298446083,0.399473926,0.172045968,0.829865519,1
61,61,0.202771855,0.250875304,0.228247586,0.320979633,0.907244614,1
62,62,0.205765814,0.291374479,0.390300636,0.18519688,0.848697943,1
63,63,0.213059701,0.28935977,0.364053677,0.2250401,0.864516475,1
64,64,0.21344172,0.322056663,0.403723341,0.184792882,0.817192715,1
65,65,0.213486141,0.309989788,0.373709261,0.216625836,0.834504078,1
66,66,0.214010306,0.315172445,0.373591819,0.217618452,0.827912767,1
67,67,0.215023099,0.288596394,0.277402732,0.307230476,0.869133231,1
68,68,0.216942075,0.304126758,0.369767185,0.218186009,0.848980993,1
69,69,0.217244136,0.288347385,0.354175832,0.233112771,0.873417943,1
70,70,0.219891613,0.317392146,0.457174527,0.165897236,0.834559148,1
71,71,0.220833333,0.318617069,0.380898223,0.217584153,0.834364582,1
72,72,0.223063255,0.320404149,0.398794027,0.206827308,0.8355005,1
73,73,0.223489694,0.289703101,0.362167006,0.239647587,0.882266994,1
74,74,0.223525231,0.305635904,0.398017833,0.215265131,0.857962864,1
75,75,0.224902274,0.304312886,0.35117266,0.24955056,0.862299217,1
76,76,0.226528074,0.296110681,0.378029319,0.242281131,0.877609255,1
77,77,0.226528074,0.29573591,0.39602385,0.217853507,0.878188425,1
78,78,0.229850746,0.31864851,0.419599316,0.209825951,0.849340491,1
79,79,0.231254442,0.32930685,0.420801091,0.213724472,0.836226215,1
80,80,0.231858564,0.293776536,0.36042927,0.255907253,0.890499083,1
81,81,0.233359986,0.312415739,0.319578751,0.306891261,0.864459823,1
82,82,0.233955224,0.330281506,0.406808622,0.226011458,0.839244151,1
83,83,0.234035181,0.356192275,0.451757334,0.202012736,0.803411754,1
84,84,0.234434968,0.310900306,0.41338289,0.22351423,0.868552301,1
85,85,0.236096304,0.319767793,0.378988458,0.25167341,0.85808598,1
86,86,0.236167377,0.301274473,0.32912202,0.302008097,0.886236776,1
87,87,0.2375,0.35499502,0.421627606,0.229634994,0.810448111,1
